rectangle,직사각형
cloudy,흐린
practice,연습하다
useless,쓸모없는
cook,요리사
uncomfortable,불편한
designer,디자이너
November,11월
test,시험
collecting,수집하기
lend,빌려주다
bus,버스
astronaut,우주비행사
airport,공항
famous,유명한
nurse,간호사
weigh,무게를 재다
careless,부주의한
safe,안전한
station,역
September,9월
waterfall,폭포
swimming,수영
important,중요한
shy,수줍은
subject,과목
lawyer,변호사
ingredient,재료
golf,골프
photographer,사진작가
relieved,안도하는
encourage,격려하다
truck,트럭
tunnel,터널
salty,짠
collect,모으다
oval,타원
solve,풀다
principal,교장선생님
comfortable,편안한
special,특별한
lonely,외로운
tower,탑
pond,연못
wonderful,멋진
English,영어
fishing,낚시
plan,계획하다
explain,설명하다
boat,보트
suggest,제안하다
count,세다
warn,경고하다
flavor,맛
participate,참가하다
polite,예의바른
disappointed,실망한
forest,숲
arrange,배열하다
toy store,장난감 가게
art,미술
baseball,야구
scientist,과학자
minute,분
painting,그림 그리기
noisy,시끄러운
train,기차
driver,운전사
coast,해안
insect,곤충
rainy,비오는
holiday,휴일
borrow,빌리다
wish,소망하다
invent,발명하다
dentist,치과의사
cafeteria,급식실
cool,시원한
farm,농장
gardening,정원 가꾸기
imagine,상상하다
foggy,안개낀
continue,계속하다
cousin,사촌
June,6월
popular,인기있는
minus,빼기
singing,노래하기
March,3월
brave,용감한
