semester,학기
fill,채우다
doctor,의사
promise,약속하다
want,원하다
popular,인기있는
athlete,운동선수
fire truck,소방차
taxi,택시
skiing,스키타기
taekwondo,태권도
triangle,삼각형
seed,씨앗
buy,사다
March,3월
humid,습한
snowy,눈오는
volcano,화산
hour,시간
continue,계속하다
farm,농장
driver,운전사
astronaut,우주비행사
curious,궁금한
June,6월
subject,과목
surprised,놀란
table tennis,탁구
tennis,테니스
forest,숲
swimming,수영
bee,벌
fry,튀기다
baseball,야구
cool,시원한
actor,배우(남)
church,교회
rainy,비오는
minus,빼기
baker,제빵사
cut,자르다
science,과학
nervous,긴장한
badminton,배드민턴
noisy,시끄러운
love,사랑하다
excited,신난
actress,배우(여)
drawing,그리기
lend,빌려주다
running,달리기
grandparent,조부모
useful,유용한
painter,화가
coast,해안
oval,타원
cafeteria,급식실
singing,노래하기
boil,끓이다
frozen,냉동된
path,길
fresh,신선한
ambulance,구급차
pick,고르다/따다
bitter,쓴
post office,우체국
quiet,조용한
carry,나르다
November,11월
photographer,사진작가
proud,자랑스러운
basketball,농구
follow,따라가다
January,1월
fix,고치다
factory,공장
planet,행성
firefighter,소방관
test,시험
pond,연못
flavor,맛
use,사용하다
history,역사
motorcycle,오토바이
vet,수의사
airport,공항
tunnel,터널
English,영어
cousin,사촌
plant,식물
bridge,다리(건축물)
police officer,경찰관
locker,사물함
return,돌아오다/반납하다
shy,수줍은
swamp,늪
jungle,정글
math,수학
sunny,화창한
sweet,달콤한
start,시작하다
arrive,도착하다
remember,기억하다
fishing,낚시
ship,배
introduce,소개하다
neighbor,이웃
lead,이끌다
polite,예의바른
butterfly,나비
special,특별한
guard,경비원
classmate,반친구
useless,쓸모없는
gardening,정원 가꾸기
dentist,치과의사
submarine,잠수함
borrow,빌리다
hold,잡다
rectangle,직사각형
equal,같은
expensive,비싼
decide,결정하다
bored,지루한
writer,작가
July,7월
salty,짠
agree,동의하다
bus,버스
difficult,어려운
engineer,기술자
singer,가수
theater,극장
boxing,권투
valley,계곡
toy store,장난감 가게
choose,고르다
diamond,다이아몬드 모양
May,5월
Korean,국어
principal,교장선생님
art,미술
plus,더하기
island,섬
waterfall,폭포
second,초
brave,용감한
cloudy,흐린
painting,그림 그리기
cook,요리사
